epoch;accuracy;loss;val_accuracy;val_loss
0;0.4216703474521637;3.034684181213379;0.4097003936767578;3.0714807510375977
1;0.45636406540870667;2.67287540435791;0.4248690605163574;2.93754243850708
2;0.46297138929367065;2.6025619506835938;0.4326803684234619;2.8884775638580322
3;0.46639859676361084;2.569456100463867;0.43516308069229126;2.880844831466675
4;0.46857643127441406;2.549967050552368;0.4375375509262085;2.871506929397583
5;0.4698294401168823;2.5375254154205322;0.43926599621772766;2.8597733974456787
6;0.47075483202934265;2.5291666984558105;0.43990153074264526;2.8594160079956055
7;0.47143349051475525;2.523139715194702;0.4408967196941376;2.858794927597046
8;0.4719969928264618;2.5184078216552734;0.4406522810459137;2.864990234375
9;0.4723847508430481;2.515446901321411;0.4412389099597931;2.863359212875366
10;0.4728873074054718;2.5124785900115967;0.44238075613975525;2.8632469177246094
11;0.4730179011821747;2.5104551315307617;0.4414903223514557;2.8655338287353516
12;0.47332900762557983;2.5084400177001953;0.4413052499294281;2.8613438606262207
13;0.4733465015888214;2.507800340652466;0.44294294714927673;2.8635449409484863
14;0.47368526458740234;2.506178140640259;0.4421677589416504;2.8771812915802
15;0.4737336039543152;2.505232095718384;0.44323277473449707;2.8667221069335938
16;0.4738022983074188;2.5048768520355225;0.44299182295799255;2.8675644397735596
17;0.47405704855918884;2.50384521484375;0.44326069951057434;2.8688602447509766
18;0.47424307465553284;2.5035715103149414;0.44254836440086365;2.8726470470428467
19;0.47404003143310547;2.5032763481140137;0.44175222516059875;2.8808822631835938
20;0.4742945730686188;2.5031843185424805;0.44265660643577576;2.877824306488037
21;0.47424623370170593;2.5028958320617676;0.44233885407447815;2.8825981616973877
22;0.47422629594802856;2.5024948120117188;0.44183602929115295;2.8802812099456787
